                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.66808,                 1.6162,                 1.1669,                 1.0935,                0.83196,                0.91619,                0.97109,                0.73117,                0.80704,                0.84421,                0.89533,                0.62808,                 1.2123,                 1.8977,                0.77597,                 1.2038,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.76404,                 1.2933,                0.94354,                 1.1526,                0.83196,                0.91619,                0.97109,                0.73117,                0.80704,                0.84421,                0.89533,                0.62808,                 1.2123,                 1.8977,                0.77597,                 1.2038,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.27117,                 1.6688,                 1.0492,                 1.0072,                0.83038,                0.91579,                 0.9711,                0.70625,                0.78978,                0.85443,                0.88989,                 0.6286,                 1.2238,                 1.9023,                0.78866,                 1.2097,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.51888,                 1.3058,                0.75607,                0.97734,                0.83038,                0.91579,                 0.9711,                0.70625,                0.78978,                0.85443,                0.88989,                 0.6286,                 1.2238,                 1.9023,                0.78866,                 1.2097,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 0.6516,                 1.6299,                0.64677,                 1.1392,                0.82001,                0.93935,                0.97062,                0.70603,                0.76267,                0.88201,                0.88964,                0.62789,                  1.227,                 1.9046,                0.81655,                  1.213,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.61939,                 1.0989,                0.67176,                 1.0183,                0.82001,                0.93935,                0.97062,                0.70603,                0.76267,                0.88201,                0.88964,                0.62789,                  1.227,                 1.9046,                0.81655,                  1.213,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.65744,                 1.7291,                 1.2274,                 1.1387,                0.76832,                0.94682,                0.97018,                0.68354,                0.70483,                0.88333,                0.88908,                0.63793,                 1.2535,                 1.9071,                0.86907,                 1.2201,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.38243,                 1.5315,                0.88009,                 1.0041,                0.76832,                0.94682,                0.97018,                0.68354,                0.70483,                0.88333,                0.88908,                0.63793,                 1.2535,                 1.9071,                0.86907,                 1.2201,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.54718,                 1.2593,                0.45401,                 0.9438,                0.75527,                0.94821,                 0.9676,                0.67517,                0.69039,                0.88333,                0.88639,                0.62859,                 1.2677,                 1.9095,                0.91601,                 1.2288,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.46516,                 1.2655,                 1.1248,                 1.0325,                0.75527,                0.94821,                 0.9676,                0.67517,                0.69039,                0.88333,                0.88639,                0.62859,                 1.2677,                 1.9095,                0.91601,                 1.2288,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.63338,                 1.7005,                 0.7913,                 1.2089,                0.73888,                0.95172,                0.96652,                0.67563,                0.67049,                0.88333,                0.88569,                0.62628,                 1.2799,                 1.9157,                0.95707,                 1.2312,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.46522,                0.94016,                0.38813,                0.93006,                0.73888,                0.95172,                0.96652,                0.67563,                0.67049,                0.88333,                0.88569,                0.62628,                 1.2799,                 1.9157,                0.95707,                 1.2312,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.54887,                 1.1571,                0.63053,                0.95921,                0.64142,                0.88333,                0.94023,                0.65456,                0.64142,                0.88333,                0.88421,                0.62641,                 1.2855,                 1.9163,                 1.0007,                 1.2353,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.56357,                 1.1526,                0.42236,                 1.0752,                0.64142,                0.88333,                0.94023,                0.65456,                0.64142,                0.88333,                0.88421,                0.62641,                 1.2855,                 1.9163,                 1.0007,                 1.2353,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.55085,                0.94295,                0.45956,                 1.0197,                0.67036,                0.88333,                0.94025,                0.66792,                0.67036,                0.88333,                0.88434,                0.62636,                  1.299,                 1.9196,                 1.0571,                 1.2381,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.42993,                0.93885,                0.36341,                0.90858,                0.67036,                0.88333,                0.94025,                0.66792,                0.67036,                0.88333,                0.88434,                0.62636,                  1.299,                 1.9196,                 1.0571,                 1.2381,             2.7902e-05,             2.7902e-05,             2.7902e-05
